amt_price,heatedarea,hometype,fullbaths,halfbaths,District
360000,1246,Detached single-family,1,1,5
335000,1404,Detached single-family,2,0,5
562000,1548,Detached single-family,2,0,5
535000,1444,Detached single-family,2,0,5
376000,1150,Detached single-family,1,0,5
421000,1126,Detached single-family,2,0,5
1325000,3584,Detached single-family,3,1,5
1700000,4146,Detached single-family,3,1,5
901000,2794,Detached single-family,3,0,5
670000,2594,Detached single-family,2,1,5
265000,1486,Attached single-family,2,1,5
280000,1036,Detached single-family,1,0,5
785000,2506,Detached single-family,3,0,6
549000,1800,Detached single-family,2,0,6
530000,1957,Detached single-family,2,0,6
740000,2290,Detached single-family,2,0,6
1269000,3827,Detached single-family,4,0,6
555000,3035,Detached single-family,2,1,6
615000,2624,Detached single-family,3,1,6
650000,2369,Detached single-family,2,0,5
535000,1650,Detached single-family,2,0,5
1621000,5463,Detached single-family,4,1,5
1587500,4403,Detached single-family,5,0,5
599000,1825,Detached single-family,2,0,5
